Age,Year,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
50.0,1995.0,Apr,4,Monday,Mazda,Urban,Tuesday,Apr,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
28.0,1995.0,May,5,Monday,Mazda,Urban,Monday,May,1,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,15,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
28.0,1994.0,Jul,4,Friday,Chevrolet,Urban,Monday,Jul,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,500,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,2 to 3 years,2 vehicles,Collision,0
54.0,1995.0,Apr,1,Friday,Pontiac,Urban,Monday,Apr,1,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,15,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
43.0,1994.0,Apr,1,Saturday,Honda,Urban,Friday,Apr,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,14,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,Liability,0
36.0,1995.0,Dec,4,Tuesday,Toyota,Urban,Monday,Jan,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,Liability,0
28.0,1995.0,Jun,3,Monday,Toyota,Urban,Friday,Jun,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
49.0,1995.0,Sep,5,Monday,Chevrolet,Urban,Monday,Sep,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,16,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,0
50.0,1995.0,May,3,Wednesday,Pontiac,Urban,Monday,May,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,11,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
48.0,1994.0,Sep,4,Friday,Pontiac,Urban,Tuesday,Oct,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,9,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,1
65.0,1996.0,Jan,3,Thursday,Mazda,Urban,Wednesday,Jul,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13,400,3,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,Liability,0
26.0,1994.0,Oct,2,Tuesday,Mazda,Rural,Tuesday,Nov,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
42.286068,1995.0,Sep,5,Friday,Chevrolet,Urban,Monday,Sep,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
31.0,1996.0,Jun,5,Monday,Mazda,Urban,Friday,Jul,3,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,15,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
39.454807,1994.0,Jun,1,Tuesday,Mazda,Urban,Wednesday,Jun,1,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,7,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
60.0,1995.0,Mar,4,Thursday,Mazda,Urban,Tuesday,Apr,2,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,5,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
49.845253,1996.0,Apr,3,Monday,Toyota,Rural,Friday,Apr,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,15,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability,0
36.0,1994.0,Feb,3,Monday,Saturn,Urban,Friday,Feb,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
32.0,1994.0,Jun,3,Thursday,Mazda,Urban,Friday,Jun,2,Female,Single,Third Party,Sport - Collision,Sport,more than 69000,15,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,0
31.0,1996.0,Sep,1,Thursday,Mazda,Urban,Thursday,Sep,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
55.0,1995.0,Nov,4,Sunday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8,700,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,0
44.314777,1995.0,Jul,3,Friday,Mazda,Urban,Wednesday,Jul,4,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10,400,1,none,15 to 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,All Perils,0
32.0,1994.0,Dec,2,Tuesday,Toyota,Urban,Wednesday,Dec,4,Female,Married,Third Party,Sedan - Collision,Sedan,less than 20000,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,0
0.0,1995.0,Mar,3,Sunday,Pontiac,Urban,Monday,Mar,4,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,400,3,more than 30,more than 30,2 to 4,7 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,Liability,0
52.0,1995.0,Feb,3,Tuesday,Accura,Urban,Tuesday,Feb,4,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
23.0,1994.0,Apr,3,Friday,Mazda,Urban,Monday,Apr,3,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,3,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,0
43.0,1994.0,Apr,4,Saturday,Pontiac,Urban,Thursday,Apr,4,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
47.0,1995.0,Jul,4,Thursday,Toyota,Rural,Thursday,Jul,4,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,7,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
51.0,1995.0,Sep,2,Friday,Toyota,Urban,Wednesday,Oct,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,13,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,0
34.0,1996.0,Sep,1,Friday,Chevrolet,Urban,Wednesday,Sep,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,12,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,0
53.0,1995.0,May,5,Tuesday,Pontiac,Urban,Friday,Jul,2,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,7,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,0
43.0,1995.0,Mar,4,Sunday,Mazda,Urban,Monday,Mar,5,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,10,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
26.0,1995.0,May,2,Sunday,Honda,Urban,Monday,Nov,2,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
38.0,1994.0,Jul,3,Friday,VW,Urban,Monday,Jul,4,Female,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
44.0,1994.0,Jul,2,Sunday,Honda,Urban,Wednesday,Jul,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,400,2,more than 30,more than 30,none,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,0
0.0,1996.0,May,2,Monday,Honda,Urban,Tuesday,Jun,2,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,11,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
27.0,1994.0,Nov,1,Thursday,Chevrolet,Urban,Tuesday,Nov,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,6,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,Liability,0
23.67421,1994.0,Jan,5,Tuesday,Mazda,Urban,Wednesday,Jan,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
37.0,1996.0,Mar,3,Friday,Chevrolet,Urban,Monday,Mar,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
30.0,1995.0,Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,2,Female,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,6,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
35.0,1996.0,Aug,3,Monday,Toyota,Urban,Tuesday,Aug,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,16,700,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
31.0,1994.0,Jun,5,Saturday,Honda,Urban,Monday,Jun,4,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
34.390312,1994.0,Oct,2,Wednesday,Pontiac,Urban,Monday,Nov,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
43.0,1996.0,Jun,3,Tuesday,Saab,Urban,Tuesday,Jun,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,7,400,4,none,more than 30,none,7 years,36 to 40,No,No,External,none,1 year,2 vehicles,Collision,0
30.0,1994.0,Aug,1,Sunday,Toyota,Urban,Monday,Aug,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
49.0,1996.0,Aug,4,Monday,Toyota,Urban,Tuesday,Aug,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,7,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,0
61.0,1996.0,Dec,2,Wednesday,Toyota,Urban,Wednesday,Jan,2,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,400,3,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,0
39.068573,1996.0,Jun,1,Wednesday,Mazda,Urban,Tuesday,Jun,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,9,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
30.0,1995.0,Jun,1,Tuesday,Pontiac,Urban,Tuesday,Apr,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
50.0,1994.0,Sep,2,Friday,Pontiac,Urban,Wednesday,Feb,4,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,9,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,0
33.0,1994.0,May,2,Saturday,Mazda,Urban,Monday,May,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,All Perils,0
30.0,1994.0,Dec,3,Wednesday,Mazda,Urban,Friday,Dec,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
41.0,1995.0,Jan,1,Friday,Mazda,Urban,Wednesday,Jan,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,15,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
51.0,1994.0,Nov,3,Monday,Pontiac,Urban,Wednesday,Dec,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
22.0,1994.0,Apr,2,Friday,Pontiac,Urban,Monday,Apr,2,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,16,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils,0
41.0,1995.0,Dec,5,Monday,Honda,Rural,Tuesday,Dec,5,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
39.0,1996.0,May,4,Saturday,Pontiac,Urban,Wednesday,May,5,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
32.0,1994.0,Dec,4,Sunday,Pontiac,Rural,Monday,Dec,5,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
51.0,1995.0,Aug,3,Saturday,Mazda,Rural,Tuesday,Aug,3,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,3,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability,0
31.0,1994.0,Jan,4,Saturday,Mazda,Urban,Wednesday,Jan,3,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
29.0,1994.0,Jun,1,Saturday,Mazda,Urban,Monday,Jun,1,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
33.0,1994.0,Nov,1,Saturday,Mazda,Urban,Wednesday,Nov,1,Female,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,6,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
29.0,1996.0,Apr,5,Thursday,Honda,Urban,Tuesday,May,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,9,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
52.0,1994.0,Jan,3,Monday,Honda,Rural,Tuesday,Jan,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,14,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,0
58.0,1996.0,Jun,3,Wednesday,Pontiac,Urban,Friday,Jun,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12,400,3,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,Collision,0
40.0,1994.0,Nov,5,Wednesday,Mazda,Urban,Friday,Nov,5,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,3,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
54.0,1995.0,May,2,Sunday,Honda,Urban,Friday,Sep,2,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,10,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
33.0,1994.0,Jun,4,Sunday,Chevrolet,Urban,Wednesday,Jun,1,Female,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,15,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
33.0,1994.0,Dec,1,Wednesday,Pontiac,Urban,Thursday,Dec,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
22.500998,1995.0,Jul,4,Thursday,Honda,Urban,Monday,Aug,1,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,3,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
64.0,1996.0,Mar,1,Tuesday,Accura,Urban,Thursday,Mar,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,3,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision,0
32.0,1995.0,Sep,4,Saturday,Toyota,Urban,Monday,Oct,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
51.0,1994.0,Feb,2,Friday,Honda,Urban,Friday,Feb,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,7,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
22.0,1995.0,Sep,1,Friday,Mazda,Urban,Wednesday,Sep,1,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils,0
37.0,1996.0,Aug,4,Thursday,Toyota,Urban,Wednesday,Aug,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,1
31.0,1995.0,Nov,5,Sunday,Toyota,Urban,Friday,Dec,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,7,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,0
40.76645,1994.0,Jun,1,Tuesday,Chevrolet,Urban,Tuesday,Jun,3,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
40.0,1994.0,Nov,4,Friday,Pontiac,Urban,Wednesday,Nov,4,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
33.388607,1994.0,Jul,2,Monday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
32.0,1996.0,Sep,3,Tuesday,Honda,Rural,Tuesday,Oct,1,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,11,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,Liability,0
31.0,1994.0,Feb,4,Friday,Mazda,Urban,Friday,Mar,4,Female,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,8,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
28.0,1994.0,Dec,2,Wednesday,Toyota,Urban,Tuesday,Jan,2,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,6,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,1
57.08907,1995.0,Dec,2,Saturday,Pontiac,Urban,Monday,Dec,2,Male,Married,Policy Holder,Utility - All Perils,Utility,40000 to 59000,16,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,0
60.0,1994.0,Jun,2,Monday,Toyota,Rural,Monday,Jun,3,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,10,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,0
45.0,1994.0,Jun,3,Friday,Pontiac,Urban,Friday,Jul,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
46.0,1994.0,Mar,1,Sunday,Pontiac,Urban,Thursday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,6,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,0
31.0,1994.0,Oct,4,Tuesday,Mazda,Urban,Friday,Nov,1,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
26.0,1994.0,Jun,4,Friday,Honda,Urban,Monday,Jun,2,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
0.0,1994.0,Apr,3,Monday,Honda,Urban,Monday,Apr,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,5,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,0
60.0,1994.0,Aug,1,Wednesday,Mazda,Urban,Tuesday,Sep,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,16,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision,0
59.0,1996.0,Dec,4,Saturday,Mazda,Urban,Friday,Dec,2,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,400,4,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,Liability,0
39.936764,1996.0,Mar,3,Friday,Pontiac,Urban,Monday,Mar,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,10,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,0
32.0,1996.0,Jun,1,Saturday,Chevrolet,Urban,Wednesday,Jun,5,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,9,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,0
51.0,1996.0,Sep,3,Wednesday,VW,Urban,Wednesday,Sep,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,0
27.0,1994.0,Jun,3,Thursday,VW,Urban,Monday,Jun,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
34.0,1994.0,Feb,2,Sunday,Pontiac,Urban,Monday,Jun,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,less than 20000,1,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1
39.0,1994.0,Oct,5,Friday,Mazda,Urban,Thursday,Nov,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,6,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
38.0,1996.0,Oct,4,Thursday,Toyota,Urban,Monday,Oct,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,5,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
31.0,1996.0,Nov,2,Monday,Chevrolet,Rural,Tuesday,Nov,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,7,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
76.8925,1996.0,Apr,3,Wednesday,Ford,Urban,Thursday,Apr,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,Liability,0
60.0,1994.0,Nov,3,Friday,Honda,Urban,Thursday,Nov,3,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,5,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,0
31.0,1994.0,Jun,3,Saturday,Toyota,Urban,Monday,Jul,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,16,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
33.0,1996.0,Jul,4,Monday,Pontiac,Urban,Monday,Jul,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,15,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
59.0,1994.0,Apr,3,Sunday,Chevrolet,Urban,Monday,Apr,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,0
27.0,1996.0,Mar,2,Tuesday,Pontiac,Urban,Friday,Mar,2,Male,Single,Third Party,Sedan - Collision,Sedan,less than 20000,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
